Date	Beer	Hlth	Fin	Rtail	Whlsl
Jan-13	0.0507	0.0966	0.13	0.0541	0.0646
Feb-13	0.0522	0.0078	0.0177	0.0061	0.0207
Mar-13	0.0531	0.0591	0.036	0.0477	0.0325
Apr-13	0.0355	-0.0034	-0.0002	0.032	0.0017
May-13	-0.0147	0.0454	0.0842	0.0239	0.0385
Jun-13	0.0093	-0.0134	-0.0294	-0.0043	-0.0055
Jul-13	0.0273	0.0171	0.0736	0.0639	0.0646
Aug-13	-0.0386	-0.0418	-0.05	-0.0486	-0.025
Sep-13	0.0134	0.0604	0.0452	0.0443	0.056
Oct-13	0.0625	0.0392	0.0589	0.0539	0.0576
Nov-13	0.0115	0.0207	0.0581	0.0372	0.0386
Dec-13	-0.0041	-0.0136	0.0379	0.001	0.0254
Jan-14	-0.0054	0.0157	-0.0556	-0.0759	-0.0235
Feb-14	0.0162	0.0333	0.0301	0.0579	0.045
Mar-14	0.0478	0.0213	0.0099	-0.0121	0.0041
Apr-14	0.0156	-0.0107	-0.024	-0.0084	-0.0054
May-14	0.0319	0.0361	-0.002	0.0022	0.0344
Jun-14	0.0285	0.0324	0.0485	0.0101	0.0099
Jul-14	-0.0292	0.0627	-0.0106	-0.0178	-0.0309
Aug-14	0.0546	0.0469	0.046	0.0574	0.0475
Sep-14	0.0083	-0.0366	-0.0045	-0.0151	-0.0223
Oct-14	0.0328	0.0435	0.0245	0.0337	0.0312
Nov-14	0.0435	-0.0131	0.0248	0.0896	0.0186
Dec-14	-0.043	0.0352	0.03	0.0223	0.0045
Jan-15	0.009	-0.0253	-0.073	-0.0024	-0.0253
Feb-15	0.044	0.0429	0.0837	0.0567	0.0489
Mar-15	-0.0207	0.0497	-0.0037	0.0101	0.0054
Apr-15	-0.0052	-0.0174	0.0056	-0.0293	-0.0105
May-15	0.02	0.05	0.0239	0.0056	0.0129
Jun-15	-0.0171	0.0514	-0.0063	-0.005	-0.0266
Jul-15	0.0351	0.0165	-0.0021	0.0584	-0.0128
Aug-15	-0.0312	-0.0641	-0.0848	-0.0542	-0.0427
Sep-15	0.0258	-0.098	-0.0482	-0.0172	-0.06
Oct-15	0.0806	-0.043	0.0783	0.0453	0.0517
Nov-15	-0.0071	0.0083	0.0326	0.0059	0.027
Dec-15	0.0031	-0.0243	-0.0528	0.0083	-0.0178
Jan-16	-0.0022	-0.0476	-0.1103	-0.0447	-0.0834
Feb-16	-0.0232	-0.0285	-0.0192	-0.0043	0.0419
Mar-16	0.0563	0.089	0.0695	0.0599	0.0629
Apr-16	0.0032	0.0593	0.0243	-0.0034	0.003
May-16	-0.009	-0.0091	0.0349	0.0122	0.0164
Jun-16	0.0533	-0.0042	-0.0683	0.0076	0.016
Jul-16	0.0184	0.0241	0.0718	0.0385	0.034
Aug-16	-0.0088	-0.0686	0.0531	-0.0169	-0.0094
Sep-16	0.0165	0.0218	-0.0119	-0.0014	-0.0256
Oct-16	-0.0163	-0.0665	-0.0084	-0.0355	-0.0807
Nov-16	-0.0575	0.0103	0.1517	0.0288	0.0977
Dec-16	0.0303	0.0081	0.0345	-0.0095	0.0223
Jan-17	-0.0098	0.0421	0.0137	0.0092	0.0192
Feb-17	0.0617	0.073	0.0379	0.0285	0.0268
Mar-17	0.0092	-0.0078	-0.0197	0.0082	-0.0108
Apr-17	0.0194	-0.0137	-0.0022	0.034	-0.0334
May-17	0.0434	-0.0209	-0.0133	0.0054	0.0237
Jun-17	-0.0114	0.0695	0.0637	-0.0241	0.0023
Jul-17	0.0125	-0.0561	0.0321	0.0098	-0.0089
Aug-17	0.0103	-0.0237	-0.0191	-0.0176	-0.0429
Sep-17	-0.0291	-0.0172	0.0653	0.0276	0.0465
Oct-17	0.0133	-0.0364	0.0192	0.033	-0.0084
Nov-17	0.0441	0.0357	0.0566	0.0942	0.0372
Dec-17	0.044	0.0313	0.0201	0.0254	0.043
Jan-18	-0.0011	0.082	0.0502	0.1156	0.0483
Feb-18	-0.0676	-0.0205	-0.0145	-0.0472	-0.0556
Mar-18	0.0127	-0.0132	-0.0137	-0.0325	-0.0104
Apr-18	-0.0429	0.0005	-0.0152	0.0429	0.0083
May-18	-0.0119	0.0777	0.004	0.0136	0.0169
Jun-18	0.0442	0.0153	-0.0329	0.0436	0.0023
Jul-18	0.035	0.0765	0.0244	0.0355	0.0239
Aug-18	-0.0186	0.0585	0.0004	0.0911	0.0366
Sep-18	0.0019	-0.0045	-0.034	0.0061	-0.0148
Oct-18	-0.0157	-0.0659	-0.0455	-0.1021	-0.0788
Nov-18	0.0579	0.0356	0.0006	0.0159	0.0318
Dec-18	-0.0969	-0.1546	-0.0874	-0.0919	-0.1121
Date	Food	Telcm	Fin	Steel	Util
Jan-13	0.0754	0.0495	0.13	0.0428	0.0508
Feb-13	0.0483	0.0221	0.0177	-0.0268	0.0216
Mar-13	0.0798	0.0577	0.036	0.021	0.0564
Apr-13	0.0174	0.042	-0.0002	-0.0441	0.0505
May-13	-0.0201	-0.0171	0.0842	0.0384	-0.0699
Jun-13	0.0079	0.0219	-0.0294	-0.0472	0.0079
