
index,time,bid,bidvol,ask,askvol
0,2014-11-05 09:31:00,34.07,100.00,34.10,39500.00
1,2014-11-05 09:32:00,33.98,200.00,33.99,1516.00
2,2014-11-05 09:33:00,33.98,900.00,33.99,500.00
3,2014-11-05 09:34:00,33.90,700.00,33.91,2105.00
4,2014-11-05 09:35:00,33.97,1400.00,33.98,800.00
5,2014-11-05 09:36:00,33.96,2200.00,33.97,1600.00
6,2014-11-05 09:37:00,34.00,2400.00,34.01,3100.00
7,2014-11-05 09:38:00,33.92,1188.00,33.93,4700.00
8,2014-11-05 09:39:00,33.85,1823.00,33.86,5700.00
9,2014-11-05 09:40:00,33.86,900.00,33.87,1700.00
10,2014-11-05 09:41:00,33.75,4900.00,33.76,2559.00
11,2014-11-05 09:42:00,33.75,300.00,33.76,6000.00
12,2014-11-05 09:43:00,33.73,2400.00,33.74,1800.00
13,2014-11-05 09:44:00,33.69,700.00,33.70,1100.00
14,2014-11-05 09:45:00,33.78,600.00,33.79,1300.00
15,2014-11-05 09:46:00,33.73,200.00,33.74,2365.00
16,2014-11-05 09:47:00,33.75,775.00,33.76,2100.00
17,2014-11-05 09:48:00,33.81,1800.00,33.82,1470.00
18,2014-11-05 09:49:00,33.85,1500.00,33.87,8400.00
19,2014-11-05 09:50:00,33.83,800.00,33.84,2600.00
20,2014-11-05 09:51:00,33.80,2000.00,33.81,3600.00
21,2014-11-05 09:52:00,33.79,700.00,33.80,4751.00
22,2014-11-05 09:53:00,33.82,2700.00,33.83,2871.00
23,2014-11-05 09:54:00,33.80,2200.00,33.81,5300.00
24,2014-11-05 09:55:00,33.79,2067.00,33.80,4288.00
25,2014-11-05 09:56:00,33.77,2704.00,33.79,4955.00
26,2014-11-05 09:57:00,33.75,6869.00,33.76,2900.00
27,2014-11-05 09:58:00,33.72,2707.00,33.73,3153.00
28,2014-11-05 09:59:00,33.77,2640.00,33.78,6158.00
29,2014-11-05 10:00:00,33.80,2190.00,33.81,958.00
30,2014-11-05 10:01:00,33.82,600.00,33.83,1400.00
31,2014-11-05 10:02:00,33.82,900.00,33.83,2000.00
32,2014-11-05 10:03:00,33.79,3204.00,33.80,5300.00
33,2014-11-05 10:04:00,33.81,1846.00,33.82,4635.00
34,2014-11-05 10:05:00,33.82,2503.00,33.83,5395.00
35,2014-11-05 10:06:00,33.89,3472.00,33.90,5107.00
36,2014-11-05 10:07:00,33.88,900.00,33.89,4851.00
37,2014-11-05 10:08:00,33.91,3230.00,33.92,3492.00
38,2014-11-05 10:09:00,33.89,4382.00,33.90,2250.00
39,2014-11-05 10:10:00,33.91,4200.00,33.92,1201.00
