index,time,bid,bidvol,ask,askvol
0,2014-11-05 09:31:00,51.75,1000.00,52.09,1000.00
1,2014-11-05 09:32:00,51.85,700.00,51.90,1000.00
2,2014-11-05 09:33:00,51.75,1000.00,51.79,400.00
3,2014-11-05 09:34:00,51.63,1000.00,51.66,400.00
4,2014-11-05 09:35:00,51.63,1400.00,51.67,1200.00
5,2014-11-05 09:36:00,51.70,400.00,51.73,300.00
6,2014-11-05 09:37:00,51.62,1400.00,51.66,1300.00
7,2014-11-05 09:38:00,51.62,1700.00,51.65,300.00
8,2014-11-05 09:39:00,51.62,1100.00,51.65,400.00
9,2014-11-05 09:40:00,51.74,100.00,51.76,1100.00
10,2014-11-05 09:41:00,51.60,7300.00,51.62,800.00
11,2014-11-05 09:42:00,51.58,400.00,51.61,1000.00
12,2014-11-05 09:43:00,51.58,300.00,51.61,1000.00
13,2014-11-05 09:44:00,51.55,3100.00,51.57,100.00
14,2014-11-05 09:45:00,51.57,1200.00,51.61,1100.00
15,2014-11-05 09:46:00,51.53,800.00,51.56,500.00
16,2014-11-05 09:47:00,51.54,7500.00,51.58,1200.00
17,2014-11-05 09:48:00,51.58,1000.00,51.62,1300.00
18,2014-11-05 09:49:00,51.67,700.00,51.70,7600.00
19,2014-11-05 09:50:00,51.65,3300.00,51.68,600.00
20,2014-11-05 09:51:00,51.57,7600.00,51.60,100.00
21,2014-11-05 09:52:00,51.61,500.00,51.63,300.00
22,2014-11-05 09:53:00,51.65,500.00,51.67,300.00
23,2014-11-05 09:54:00,51.65,500.00,51.67,100.00
24,2014-11-05 09:55:00,51.65,1200.00,51.68,1000.00
25,2014-11-05 09:56:00,51.66,1100.00,51.68,300.00
26,2014-11-05 09:57:00,51.65,1100.00,51.67,300.00
27,2014-11-05 09:58:00,51.59,1100.00,51.62,400.00
28,2014-11-05 09:59:00,51.65,800.00,51.68,800.00
29,2014-11-05 10:00:00,51.68,900.00,51.71,1200.00
30,2014-11-05 10:01:00,51.71,900.00,51.75,700.00
31,2014-11-05 10:02:00,51.74,1600.00,51.76,300.00
32,2014-11-05 10:03:00,51.73,300.00,51.75,7800.00
33,2014-11-05 10:04:00,51.70,1600.00,51.72,400.00
34,2014-11-05 10:05:00,51.75,300.00,51.76,1800.00
35,2014-11-05 10:06:00,51.83,400.00,51.85,1700.00
36,2014-11-05 10:07:00,51.83,800.00,51.85,1700.00
37,2014-11-05 10:08:00,51.83,400.00,51.85,300.00
38,2014-11-05 10:09:00,51.82,300.00,51.83,400.00
39,2014-11-05 10:10:00,51.82,4700.00,51.84,300.00
40,2014-11-05 10:11:00,51.87,400.00,51.88,500.00
41,2014-11-05 10:12:00,51.86,400.00,51.87,1700.00
42,2014-11-05 10:13:00,51.87,800.00,51.88,800.00
43,2014-11-05 10:14:00,51.85,2700.00,51.87,400.00
44,2014-11-05 10:15:00,51.86,500.00,51.88,4800.00
45,2014-11-05 10:16:00,51.88,3300.00,51.90,800.00
46,2014-11-05 10:17:00,51.89,400.00,51.91,9000.00
47,2014-11-05 10:18:00,51.91,600.00,51.93,1800.00
48,2014-11-05 10:19:00,51.92,1700.00,51.93,300.00
49,2014-11-05 10:20:00,51.90,3100.00,51.92,2100.00
50,2014-11-05 10:21:00,51.86,5000.00,51.88,1800.00
51,2014-11-05 10:22:00,51.80,8700.00,51.82,400.00
52,2014-11-05 10:23:00,51.83,2500.00,51.85,300.00
53,2014-11-05 10:24:00,51.81,2000.00,51.84,4800.00
54,2014-11-05 10:25:00,51.84,400.00,51.86,2200.00
55,2014-11-05 10:26:00,51.82,2000.00,51.84,300.00
56,2014-11-05 10:27:00,51.79,2300.00,51.81,300.00
57,2014-11-05 10:28:00,51.82,700.00,51.84,1800.00
58,2014-11-05 10:29:00,51.75,3800.00,51.77,400.00
59,2014-11-05 10:30:00,51.79,400.00,51.81,500.00
