Date,MA5,MA10,MA20,MACD,K,D,J,RSI6,RSI12,RSI24,BIAS5,BIAS10,BIAS20,OBV,Signal,Close
02- 10,25.256,25.207,24.8485,0.02705,0.284974,0.383897,0.581743,0.5,0.5,0.583333,-0.003405,-0.001468,0.012938,212669898.0,-1.0,25.17
02-13,25.146,25.196,24.8825,0.004666,0.110003,0.292599,0.657791,0.5,0.5,0.583333,-0.012169,-0.014129,-0.001708,162332087.0,1.0,24.84
02-14,25.024,25.181,24.9245,-0.011093,0.003615,0.196271,0.581583,0.5,0.583333,0.625,-0.006953,-0.013145,-0.002989,183329134.0,1.0,24.85
02-15,24.962,25.131,24.9755,-0.021344,-0.029179,0.121121,0.421721,0.5,0.5,0.625,-0.003686,-0.010386,-0.004224,207632627.0,-1.0,24.87
02-16,24.886,25.065,25.013,-0.036373,-0.095933,0.04877,0.338176,0.666667,0.5,0.625,-0.007474,-0.014562,-0.012513,181986535.0,1.0,24.7
02-17,24.832,25.044,25.05,-0.036849,-0.03841,0.01971,0.135949,0.666667,0.583333,0.666667,0.002738,-0.00575,-0.005988,205688108.0,1.0,24.9
02-20,24.952,25.049,25.0895,-0.010767,0.263995,0.101138,-0.224575,0.833333,0.666667,0.708333,0.019558,0.015609,0.01397,257608887.0,1.0,25.44
02-21,25.072,25.048,25.125,0.007785,0.432614,0.21163,-0.230337,0.833333,0.666667,0.708333,0.015077,0.016049,0.012935,288550003.0,1.0,25.45
02-22,25.318,25.14,25.18,0.051846,0.569391,0.330884,-0.14613,0.666667,0.583333,0.666667,0.030887,0.038186,0.036537,342934286.0,-1.0,26.1
02-23,25.582,25.234,25.2215,0.076883,0.636321,0.432696,0.025447,0.666667,0.583333,0.625,0.017121,0.031148,0.031659,316645911.0,-1.0,26.02
02-24,25.758,25.295,25.251,0.079893,0.611916,0.492436,0.253476,0.5,0.583333,0.583333,0.000854,0.019174,0.02095,295535559.0,-1.0,25.78
02-27,25.766,25.359,25.2775,0.064216,0.50229,0.495721,0.482583,0.5,0.583333,0.583333,-0.0111,0.004771,0.008011,274994960.0,1.0,25.48
02-28,25.832,25.452,25.3165,0.066041,0.501695,0.497712,0.489747,0.5,0.666667,0.583333,-0.002013,0.012887,0.018308,288776833.0,1.0,25.78
03-01,25.772,25.545,25.338,0.065936,0.486909,0.494111,0.508515,0.333333,0.583333,0.541667,0.001086,0.009982,0.018233,308636900.0,-1.0,25.8
03-02,25.714,25.648,25.3565,0.059824,0.42776,0.471994,0.560462,0.5,0.583333,0.583333,0.000622,0.003197,0.01473,293920878.0,0.0,25.73
03-03,25.704,25.731,25.3875,0.053215,0.373609,0.439199,0.570379,0.5,0.583333,0.541667,0.001012,-3.9e-05,0.013491,310149255.0,-1.0,25.73
03-06,25.69,25.728,25.3885,0.02969,0.204324,0.360907,0.674074,0.5,0.5,0.5,-0.010899,-0.01236,0.000847,283494632.0,-1.0,25.41
03-07,25.594,25.713,25.3805,0.00575,0.034473,0.252096,0.687341,0.333333,0.416667,0.5,-0.011487,-0.016062,-0.003172,256236762.0,-1.0,25.3
03-08,25.474,25.623,25.3815,-0.017383,-0.092628,0.137188,0.59682,0.166667,0.333333,0.5,-0.010756,-0.016509,-0.007151,243208385.0,-1.0,25.2
03-09,25.288,25.501,25.3675,-0.055375,-0.292329,-0.005984,0.566704,0.333333,0.333333,0.5,-0.019298,-0.027489,-0.022371,214718295.0,1.0,24.8
03-10,25.17,25.437,25.366,-0.063302,-0.238104,-0.083358,0.226136,0.166667,0.333333,0.458333,-0.001192,-0.011676,-0.00891,231371256.0,-1.0,25.14
03-13,25.058,25.374,25.3665,-0.08364,-0.277097,-0.147937,0.110382,0.333333,0.416667,0.5,-0.008301,-0.020651,-0.020362,196218751.0,1.0,24.85
03-14,25.012,25.303,25.3775,-0.08459,-0.181199,-0.159024,-0.114675,0.333333,0.416667,0.5,0.002319,-0.009208,-0.012117,219824712.0,-1.0,25.07
03-15,24.984,25.229,25.387,-0.084249,-0.083603,-0.133884,-0.234446,0.333333,0.333333,0.458333,0.003042,-0.006699,-0.012881,195986354.0,-1.0,25.06
03-16,25.024,25.156,25.402,-0.085706,-0.023693,-0.097154,-0.244075,0.333333,0.25,0.458333,-0.000959,-0.006201,-0.015826,171812307.0,-1.0,25.0
03-17,24.87,25.02,25.3755,-0.119858,-0.211077,-0.135128,0.016769,0.166667,0.25,0.416667,-0.020105,-0.025979,-0.039625,104619105.0,-1.0,24.37
03-20,24.756,24.907,25.3175,-0.146443,-0.340942,-0.203733,0.070685,0.333333,0.25,0.416667,-0.019228,-0.025174,-0.04098,69599879.0,1.0,24.28
03-21,24.676,24.844,25.2785,-0.140161,-0.177243,-0.194903,-0.230223,0.166667,0.25,0.416667,-0.000243,-0.007004,-0.024072,108948173.0,-1.0,24.67
03-22,24.552,24.768,25.1955,-0.14533,-0.155963,-0.181923,-0.233843,0.333333,0.333333,0.416667,-0.004562,-0.013243,-0.029986,88862605.0,1.0,24.44
03-23,24.546,24.785,25.143,-0.11565,0.098372,-0.088491,-0.462218,0.5,0.416667,0.416667,0.017274,0.007464,-0.006881,133308790.0,1.0,24.97
03-24,24.72,24.795,25.116,-0.076518,0.362867,0.061962,-0.539849,0.5,0.416667,0.375,0.021036,0.017947,0.004937,171302954.0,-1.0,25.24
03-27,24.878,24.817,25.0955,-0.05656,0.439206,0.18771,-0.315283,0.5,0.333333,0.333333,0.007718,0.010195,-0.001016,141116548.0,-1.0,25.07
03-28,24.88,24.778,25.0405,-0.063265,0.359086,0.244835,0.016334,0.333333,0.333333,0.333333,-0.008039,-0.003955,-0.014397,111573705.0,-1.0,24.68
03-29,24.922,24.737,24.983,-0.068143,0.313824,0.267831,0.175846,0.5,0.333333,0.375,-0.010914,-0.003517,-0.013329,90737224.0,1.0,24.65
03-30,24.874,24.71,24.933,-0.065244,0.303875,0.279846,0.231788,0.5,0.416667,0.416667,-0.005789,0.000809,-0.008142,112953181.0,1.0,24.73
03-31,24.902,24.811,24.9155,-0.023922,0.510797,0.35683,0.048895,0.5,0.5,0.416667,0.019195,0.022933,0.018643,157712144.0,0.0,25.38
04-05,24.964,24.921,24.914,0.006117,0.599572,0.437744,0.114087,0.666667,0.583333,0.416667,0.016664,0.018418,0.018704,211856292.0,1.0,25.38
04-06,25.182,25.031,24.9375,0.050087,0.684661,0.52005,0.190827,0.666667,0.583333,0.416667,0.02335,0.029523,0.033383,282737067.0,-1.0,25.77
04-07,25.388,25.155,24.9615,0.07489,0.708439,0.582846,0.33166,0.666667,0.5,0.375,0.011501,0.020871,0.028784,250835347.0,-1.0,25.68
04-10,25.522,25.198,24.9915,0.074287,0.627015,0.597569,0.538677,0.666667,0.583333,0.416667,-0.00478,0.008017,0.016346,213688596.0,1.0,25.4
04-11,25.55,25.226,25.0105,0.079061,0.608486,0.601208,0.586652,0.666667,0.583333,0.458333,-0.001174,0.011655,0.020371,252006902.0,1.0,25.52
04-12,25.598,25.281,25.049,0.086335,0.619884,0.607434,0.582532,0.5,0.5,0.458333,0.000859,0.013409,0.022795,285028893.0,-1.0,25.62
04-13,25.534,25.358,25.068,0.079219,0.535686,0.583518,0.679182,0.333333,0.5,0.458333,-0.00329,0.003628,0.015239,265140555.0,-1.0,25.45
04-14,25.482,25.435,25.086,0.07028,0.436799,0.534611,0.730237,0.5,0.583333,0.458333,-0.002433,-0.00059,0.013314,241813854.0,1.0,25.42
04-17,25.518,25.52,25.115,0.071513,0.432362,0.500528,0.636861,0.666667,0.666667,0.5,0.00243,0.002351,0.018515,263671355.0,1.0,25.58
04-18,25.616,25.583,25.197,0.096013,0.540805,0.513954,0.460251,0.666667,0.666667,0.5,0.015381,0.016691,0.032266,336922573.0,1.0,26.01
04-19,25.714,25.656,25.2885,0.116739,0.636029,0.554646,0.391878,0.666667,0.666667,0.541667,0.0154,0.017696,0.032485,385912835.0,1.0,26.11
04-20,26.054,25.794,25.4125,0.190503,0.709734,0.606342,0.399557,0.833333,0.666667,0.583333,0.042066,0.05257,0.068372,483198677.0,1.0,27.15
04-21,26.41,25.946,25.5505,0.240759,0.763659,0.658781,0.449025,1.0,0.666667,0.625,0.029913,0.048331,0.064558,537664937.0,1.0,27.2
04-24,26.74,26.129,25.6635,0.271743,0.801428,0.70633,0.516134,1.0,0.75,0.666667,0.018325,0.042137,0.06104,597053308.0,1.0,27.23
04-25,26.994,26.305,25.7655,0.289324,0.832708,0.748456,0.579952,1.0,0.833333,0.666667,0.010595,0.037065,0.05878,639385804.0,1.0,27.28
04-26,27.318,26.516,25.8985,0.320955,0.815933,0.770948,0.680978,1.0,0.833333,0.708333,0.015082,0.045784,0.070718,686751500.0,1.0,27.73
04-27,27.498,26.776,26.067,0.353797,0.857921,0.799939,0.683975,0.833333,0.75,0.666667,0.020074,0.04758,0.076073,727711325.0,-1.0,28.05
04-28,27.508,26.959,26.197,0.318603,0.710053,0.769977,0.889825,0.666667,0.75,0.625,-0.009379,0.010794,0.040195,680801687.0,-1.0,27.25
05-02,27.508,27.124,26.322,0.283043,0.58852,0.709491,0.951434,0.666667,0.833333,0.666667,-0.010106,0.003908,0.034496,657515550.0,1.0,27.23
05-03,27.618,27.306,26.4445,0.285678,0.641247,0.686743,0.777736,0.666667,0.833333,0.708333,0.007676,0.01919,0.052393,691159289.0,1.0,27.83
05-04,27.646,27.482,26.569,0.281149,0.676832,0.68344,0.696655,0.666667,0.833333,0.75,0.008102,0.014118,0.048967,712711703.0,1.0,27.87
05-05,27.632,27.565,26.6795,0.275759,0.729892,0.698924,0.636987,0.666667,0.833333,0.75,0.012594,0.015055,0.048745,740169100.0,1.0,27.98
05-08,27.798,27.653,26.7995,0.269133,0.723509,0.707119,0.674338,0.666667,0.75,0.708333,0.010145,0.015441,0.047781,778662971.0,-1.0,28.08
