Date,Open,High,Low,Close,Volume
2021-08-12 04:00:00,145.61,145.67,145.59,145.62,2188
2021-08-12 04:05:00,145.55,145.55,145.51,145.51,850
2021-08-12 04:10:00,145.5,145.5,145.5,145.5,281
2021-08-12 04:30:00,145.61,145.69,145.61,145.69,702
2021-08-12 04:35:00,145.7,145.7,145.7,145.7,117
2021-08-12 04:40:00,145.84,145.84,145.84,145.84,400
2021-08-12 05:00:00,145.75,145.75,145.75,145.75,100
2021-08-12 05:05:00,145.76,145.82,145.76,145.82,268
2021-08-12 05:30:00,145.78,145.78,145.78,145.78,931
2021-08-12 05:40:00,145.75,145.76,145.75,145.76,1234
2021-08-12 06:10:00,145.74,145.74,145.74,145.74,130
2021-08-12 06:25:00,145.72,145.77,145.72,145.77,622
2021-08-12 06:30:00,145.8,145.8,145.8,145.8,500
2021-08-12 06:40:00,145.8,145.8,145.8,145.8,239
2021-08-12 06:45:00,145.91,145.92,145.91,145.92,523
2021-08-12 06:50:00,145.92,145.92,145.92,145.92,200
2021-08-12 06:55:00,145.91,145.91,145.91,145.91,251
2021-08-12 07:00:00,145.9,145.96,145.85,145.85,4485
2021-08-12 07:05:00,145.87,146.05,145.86,146.05,7922
2021-08-12 07:10:00,146.04,146.04,145.97,146,7426
2021-08-12 07:15:00,146.01,146.1,146.01,146.1,4839
2021-08-12 07:20:00,146.09,146.1,146.06,146.07,1899
2021-08-12 07:25:00,146.07,146.07,146.05,146.05,2675
2021-08-12 07:30:00,146.05,146.09,146.05,146.08,2652
2021-08-12 07:35:00,146.08,146.08,146.05,146.07,3063
2021-08-12 07:40:00,146.08,146.08,146.06,146.07,1844
2021-08-12 07:45:00,146.06,146.07,146.06,146.07,1488
2021-08-12 07:50:00,146.08,146.08,146.06,146.06,3137
2021-08-12 07:55:00,146.05,146.07,146.02,146.04,2930
2021-08-12 08:00:00,146.0495,146.1,145.496,146.02,38838
2021-08-12 08:05:00,146,146,145.89,145.98,11347
2021-08-12 08:10:00,145.94,145.96,145.94,145.94,2774
2021-08-12 08:15:00,145.95,146,145.95,145.99,6102
2021-08-12 08:20:00,145.96,145.97,145.92,145.94,8289
2021-08-12 08:25:00,145.94,145.95,145.88,145.95,5024
2021-08-12 08:30:00,145.91,145.94,145.79,145.91,12430
2021-08-12 08:35:00,145.87,145.93,145.829,145.86,15120
