,MKT,SMB,HML,UMD,RF
YYYY-00-DD 00:00:SS,-0.0433,0.0611,-0.0134,0.0227,0.0041
YYYY-00-DD 00:00:SS,0.0288,0.2162,-0.0851,0.1879,0.0043
YYYY-00-DD 00:00:SS,0.0567,-0.1635,0.0813,-0.0592,0.0047
YYYY-00-DD 00:00:SS,-0.0594,-0.0647,0.0787,-0.0811,0.0046
YYYY-00-DD 00:00:SS,-0.0392,-0.0583,0.0551,-0.0858,0.005
YYYY-00-DD 00:00:SS,0.0504,0.132,-0.0782,0.1699,0.004
YYYY-00-DD 00:00:SS,-0.0203,-0.0268,0.0888,0.0037,0.0048
YYYY-00-DD 00:00:SS,0.0753,-0.0015,-0.0097,0.062,0.005
YYYY-00-DD 00:00:SS,-0.0494,-0.0138,0.0779,0.0271,0.0051
YYYY-00-DD 00:00:SS,-0.022,-0.0331,0.0627,-0.0407,0.0056
YYYY-00-DD 00:00:SS,-0.1021,-0.0299,0.1304,-0.0189,0.0051
YYYY-00-DD 00:00:SS,0.0169,0.0123,0.0817,0.072,0.005
YYYY-00-DD 00:00:SS,0.0367,0.073,-0.0479,-0.2451,0.0054
YYYY-00-DD 00:00:SS,-0.0967,-0.0044,0.1296,0.1289,0.0038
YYYY-00-DD 00:00:SS,-0.0684,0.0059,0.0694,0.0877,0.0042
YYYY-00-DD 00:00:SS,0.0833,0.01,-0.0441,-0.0758,0.0039
YYYY-00-DD 00:00:SS,0.0104,0.0285,0.0366,0.0244,0.0032
YYYY-00-DD 00:00:SS,-0.0166,0.0653,-0.0088,0.0062,0.0028
YYYY-00-DD 00:00:SS,-0.0183,-0.0393,0.0565,0.0577,0.003
YYYY-00-DD 00:00:SS,-0.0615,0.0279,0.0264,0.0585,0.0031
YYYY-00-DD 00:00:SS,-0.0897,-0.0597,0.0185,0.1182,0.0028
YYYY-00-DD 00:00:SS,0.0268,0.0779,-0.0744,-0.0819,0.0022
YYYY-00-DD 00:00:SS,0.0771,-0.0031,0.0233,-0.0841,0.0017
YYYY-00-DD 00:00:SS,0.0175,0.0494,0.0105,0.0014,0.0015
YYYY-00-DD 00:00:SS,-0.013,0.0132,0.0352,0.0382,0.0014
YYYY-00-DD 00:00:SS,-0.0216,-0.0094,0.0234,0.069,0.0013
YYYY-00-DD 00:00:SS,0.0437,0.0427,0.0121,-0.0154,0.0013
YYYY-00-DD 00:00:SS,-0.0505,0.0599,0.0411,0.081,0.0015
YYYY-00-DD 00:00:SS,-0.0124,-0.0312,0.0171,0.0311,0.0014
YYYY-00-DD 00:00:SS,-0.0708,0.0433,0.0017,0.0628,0.0013
YYYY-00-DD 00:00:SS,-0.0803,-0.0507,-0.0356,0.0349,0.0015
YYYY-00-DD 00:00:SS,0.0064,-0.028,0.0337,0.019,0.0014
YYYY-00-DD 00:00:SS,-0.1021,0.0253,0.0163,0.0923,0.0014
YYYY-00-DD 00:00:SS,0.0798,-0.033,-0.0393,-0.0517,0.0014
YYYY-00-DD 00:00:SS,0.0608,0.0335,-0.0139,-0.1607,0.0012
YYYY-00-DD 00:00:SS,-0.0565,0.001,0.0239,0.0975,0.0011
YYYY-00-DD 00:00:SS,-0.0247,0.0138,-0.0076,0.017,0.001
YYYY-00-DD 00:00:SS,-0.0179,-0.0037,-0.0124,0.0134,0.0009
YYYY-00-DD 00:00:SS,0.0119,0.0103,-0.0205,0.017,0.001
YYYY-00-DD 00:00:SS,0.0832,0.0074,0.0099,-0.0939,0.001
YYYY-00-DD 00:00:SS,0.0614,0.0458,0.002,-0.1076,0.0009
YYYY-00-DD 00:00:SS,0.0152,0.0185,0.0049,-0.0099,0.001
YYYY-00-DD 00:00:SS,0.0242,0.053,-0.0101,-0.0024,0.0007
YYYY-00-DD 00:00:SS,0.0241,0.0277,0.0168,-0.0048,0.0007
YYYY-00-DD 00:00:SS,-0.0116,0.0079,0.0013,-0.0011,0.0008
YYYY-00-DD 00:00:SS,0.0615,0.0271,0.0199,0.038,0.0007
YYYY-00-DD 00:00:SS,0.0142,0.0206,0.0187,0.017,0.0007
YYYY-00-DD 00:00:SS,0.0437,-0.0268,0.0166,-0.0561,0.0008
