Symbol,Description,OrderID,Quantity,Action,Exchange,Side,Price,News
AAL,American Airlines Group Inc,1101,455000,A,1,B,44.05,0
AAPL,Apple Inc,1102,685000,A,1,B,128.75,0
ADBE,Adobe Systems Inc,1103,189000,A,1,B,113.36,0
ADI,Analog Devices Inc,1104,181000,A,1,B,76.17,0
ADP,Automatic Data Processing Inc,1105,953000,A,1,B,95.25,0
ADSK,Autodesk Inc,1106,191000,A,1,B,81.28,0
AKAM,Akamai Technologies Inc,1107,285000,A,1,B,68.7,0
ALXN,Alexion Pharmaceuticals Inc,1108,524000,A,1,B,132.32,0
AMAT,Applied Materials Inc,1109,952000,A,1,B,30.53,50
AMGN,Amgen Inc,1110,682000,A,1,B,159.67,0
AMZN,Amazon.com Inc,1111,995000,A,1,B,832.35,0
ATVI,Activision Blizzard Inc,1112,587000,A,1,B,40.47,0
AVGO,Broadcom Ltd,1113,265000,A,1,B,208.69,100
BBBY,Bed Bath & Beyond Inc,1114,431000,A,1,B,39.79,0
BIDU,Baidu Inc,1115,245000,A,1,B,173.82,0
BIIB,Biogen Inc,1116,845000,A,1,B,281.69,0
BMRN,Biomarin Pharmaceutical Inc,1117,226000,A,1,B,88.59,0
CA,CA Inc,1118,679000,A,1,B,24.95,100
CELG,Celgene Corp,1119,687000,A,1,B,123.41,100
CERN,Cerner Corp,1120,564000,A,1,B,58.86,100
CHKP,Check Point Software Technologies Ltd,1121,646000,A,1,B,97.91,0
CHTR,Charter Communications Inc,1122,989000,A,1,B,326.85,0
CMCSA,Comcast Corp,1123,495000,A,1,B,75.61,0
COST,Costco Wholesale Corp,1124,972000,A,1,B,160.86,50
CSCO,Cisco Systems Inc,1125,812000,A,1,B,34.5,100
CSX,CSX Corp,1126,831000,A,1,B,47.09,0
CTRP,Ctrip.Com International Ltd,1127,563000,A,1,B,43.01,0
CTSH,Cognizant Technology Solutions Corp,1128,416000,A,1,B,52.45,0
CTXS,Citrix Systems Inc,1129,703000,A,1,B,71.24,0
DISCA,Discovery Communications Inc,1130,422000,A,1,B,28.04,0
DISCK,Discovery Communications Inc,1131,828000,A,1,B,27.4,0
DISH,DISH Network Corp,1132,608000,A,1,B,61.14,0
DLTR,Dollar Tree Inc,1133,423000,A,1,B,76.39,0
EA,Electronic Arts,1134,178000,A,1,B,90,100
EBAY,eBay Inc,1135,784000,A,1,B,32.18,0
ESRX,Express Scripts Holding Co,1136,105000,A,1,B,69.11,0
EXPE,Expedia Inc,1137,404000,A,1,B,120.77,0
FAST,Fastenal Co,1138,921000,A,1,B,49.62,0
FB,Facebook,1139,114000,A,1,B,133.23,0
FISV,Fiserv Inc,1140,443000,A,1,B,105.38,0
FOX,21st Century Fox Class B,1141,594000,A,1,B,31.24,0
FOXA,21st Century Fox Class A,1142,128000,A,1,B,31.62,0
GILD,Gilead Sciences Inc,1143,280000,A,1,B,72.82,0
GOOG,Alphabet Class C,1144,451000,A,1,B,795.695,0
GOOGL,Alphabet Class A,1145,346000,A,1,B,815.24,0
HSIC,Henry Schein Inc,1146,947000,A,1,B,159.86,0
ILMN,Illumina Inc,1147,478000,A,1,B,161.58,0
INCY,Incyte Corp,1148,928000,A,1,B,127.27,50
INTC,Intel Corp,1149,454000,A,1,B,36.52,0
INTU,Intuit Inc,1150,989000,A,1,B,117.71,0
