144
2
Month,Volume
1949-01,22400
1949-02,23600
1949-03,26400
1949-04,25800
1949-05,24200
1949-06,27000
1949-07,29600
1949-08,29600
1949-09,27200
1949-10,23800
1949-11,20800
1949-12,23600
1950-01,23000
1950-02,25200
1950-03,28200
1950-04,27000
1950-05,25000
1950-06,29800
1950-07,34000
1950-08,34000
1950-09,31600
1950-10,26600
1950-11,22800
1950-12,28000
1951-01,29000
1951-02,30000
1951-03,35600
1951-04,32600
1951-05,34400
1951-06,35600
1951-07,39800
1951-08,39800
1951-09,36800
1951-10,32400
1951-11,29200
1951-12,33200
1952-01,34200
1952-02,36000
1952-03,38600
1952-04,36200
1952-05,36600
1952-06,43600
1952-07,46000
1952-08,48400
1952-09,41800
1952-10,38200
1952-11,34400
1952-12,38800
1953-01,39200
1953-02,39200
1953-03,47200
1953-04,47000
1953-05,45800
1953-06,48600
1953-07,52800
1953-08,54400
1953-09,47400
1953-10,42200
1953-11,36000
1953-12,40200
1954-01,40800
1954-02,37600
1954-03,47000
1954-04,45400
1954-05,46800
1954-06,52800
1954-07,60400
1954-08,58600
1954-09,51800
1954-10,45800
1954-11,40600
1954-12,45800
1955-01,48400
1955-02,46600
1955-03,53400
1955-04,53800
1955-05,54000
1955-06,63000
1955-07,72800
1955-08,69400
1955-09,62400
1955-10,54800
1955-11,47400
1955-12,55600
1956-01,56800
1956-02,55400
1956-03,63400
1956-04,62600
1956-05,63600
1956-06,74800
1956-07,82600
1956-08,81000
1956-09,71000
1956-10,61200
1956-11,54200
1956-12,61200
1957-01,63000
1957-02,60200
1957-03,71200
1957-04,69600
1957-05,71000
1957-06,84400
1957-07,93000
1957-08,93400
1957-09,80800
1957-10,69400
1957-11,61000
1957-12,67200
1958-01,68000
1958-02,63600
1958-03,72400
1958-04,69600
1958-05,72600
1958-06,87000
1958-07,98200
1958-08,101000
1958-09,80800
1958-10,71800
1958-11,62000
1958-12,67400
1959-01,72000
1959-02,68400
1959-03,81200
1959-04,79200
1959-05,84000
1959-06,94400
1959-07,109600
1959-08,111800
1959-09,92600
1959-10,81400
1959-11,72400
1959-12,81000
1960-01,83400
1960-02,78200
1960-03,83800
1960-04,92200
1960-05,94400
1960-06,107000
1960-07,124400
1960-08,121200
1960-09,101600
1960-10,92200
1960-11,78000
1960-12,86400
test_prepare_data_step1
